epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2339,3.07477,4.25819,4.20776,0.00868,0.68005,0.02232,0.00566,2.62574,4.16076,4.15538,0.00016665,0.00016665,0.00016665
2,77.8548,3.03798,4.14224,4.15027,0.00821,0.68762,0.0335,0.00816,2.62202,4.15741,4.14055,0.000337591,0.000337591,0.000337591
3,114.625,2.99155,3.90675,4.0214,0.00706,0.66044,0.0631,0.01907,2.61171,4.13606,4.09134,0.000501492,0.000501492,0.000501492
4,151.575,2.91773,3.55736,3.82916,0.00776,0.68005,0.05365,0.02047,2.59584,4.10626,4.02782,0.000658354,0.000658354,0.000658354
5,196.022,2.9532,3.39617,3.70877,0.00496,0.64395,0.01759,0.00651,2.79171,4.3489,3.65999,0.000808177,0.000808177,0.000808177
6,250.81,2.7573,3.31392,3.54609,0.35707,0.34804,0.08685,0.02192,2.85123,22.5465,3.51794,0.00095096,0.00095096,0.00095096
7,293.302,2.64149,3.2117,3.41074,0.35437,0.12961,0.04663,0.01449,2.61901,4.22785,3.7871,0.000979013,0.000979013,0.000979013
8,334.816,2.65468,3.18505,3.33053,0.01171,0.49074,0.01791,0.00549,2.82472,4.54485,4.09977,0.000957015,0.000957015,0.000957015
9,380.309,2.49037,3.05359,3.14639,0.01014,0.60255,0.01873,0.00555,2.88698,5.04476,4.56292,0.000935018,0.000935018,0.000935018
10,434.189,2.54432,3.04261,3.16924,0.00872,0.60769,0.06114,0.02403,2.88222,4.75253,4.52586,0.00091302,0.00091302,0.00091302
11,475.752,2.443,2.96692,3.07977,0.81938,0.06863,0.0983,0.03655,2.61841,4.2609,4.30557,0.000891022,0.000891022,0.000891022
12,516.23,2.36831,2.85718,2.98014,0.30587,0.15305,0.18564,0.06328,2.2061,3.25542,3.4741,0.000869024,0.000869024,0.000869024
13,557.021,2.33558,2.7994,2.96519,0.53203,0.30922,0.37967,0.16545,2.06827,2.80803,3.04439,0.000847026,0.000847026,0.000847026
14,602.781,2.2386,2.82681,2.87557,0.21578,0.3685,0.23355,0.09823,2.07151,3.06025,3.0206,0.000825029,0.000825029,0.000825029
15,701.217,2.16563,2.74733,2.79876,0.33169,0.32427,0.32323,0.1349,1.93315,2.85306,2.80574,0.000803031,0.000803031,0.000803031
16,789.432,2.19669,2.68869,2.77202,0.37876,0.29371,0.3125,0.13185,1.96853,2.94407,2.99186,0.000781033,0.000781033,0.000781033
17,862.691,2.09491,2.55665,2.69714,0.40558,0.37866,0.36077,0.16643,1.89543,3.03984,2.75926,0.000759035,0.000759035,0.000759035
18,934.754,2.03244,2.56453,2.61756,0.47604,0.44433,0.38462,0.20123,1.7735,2.96449,2.59766,0.000737037,0.000737037,0.000737037
19,1007.02,1.99201,2.49591,2.60241,0.48347,0.39506,0.39679,0.1808,1.84694,3.13048,2.63596,0.00071504,0.00071504,0.00071504
20,1128.53,1.95537,2.38482,2.55729,0.49647,0.46065,0.43252,0.22452,1.7086,2.73441,2.58907,0.000693042,0.000693042,0.000693042
21,1224.32,1.91355,2.3648,2.50865,0.3511,0.3865,0.36327,0.19101,1.77034,2.83484,2.59599,0.000671044,0.000671044,0.000671044
22,1323.56,1.86868,2.30062,2.44694,0.46975,0.52689,0.51644,0.24929,1.76781,2.51245,2.51609,0.000649046,0.000649046,0.000649046
23,1430.83,1.85192,2.32033,2.46377,0.51675,0.53247,0.54327,0.27626,1.69011,2.51482,2.46078,0.000627048,0.000627048,0.000627048
24,1551.69,1.8555,2.34193,2.46132,0.52863,0.50884,0.56255,0.31447,1.68069,2.27654,2.49781,0.000605051,0.000605051,0.000605051
25,1682.65,1.78296,2.21838,2.40529,0.57533,0.6217,0.60864,0.33611,1.63557,2.36402,2.3938,0.000583053,0.000583053,0.000583053
26,1801.49,1.77002,2.1931,2.3721,0.56191,0.63823,0.613,0.35404,1.60741,2.4055,2.39515,0.000561055,0.000561055,0.000561055
27,1918.12,1.75435,2.09892,2.3441,0.53341,0.56935,0.56435,0.32602,1.57177,2.27974,2.36789,0.000539057,0.000539057,0.000539057
28,2034.87,1.72209,2.12405,2.3201,0.42515,0.4273,0.48086,0.29529,1.54466,2.44677,2.34377,0.000517059,0.000517059,0.000517059
29,2122.39,1.65287,2.00686,2.25236,0.49691,0.62963,0.60795,0.36361,1.51174,2.20484,2.28009,0.000495062,0.000495062,0.000495062
30,2200.29,1.68189,2.02128,2.26971,0.6476,0.5249,0.63365,0.39228,1.55761,2.23734,2.32941,0.000473064,0.000473064,0.000473064
31,2246.27,1.6386,1.96554,2.2389,0.46053,0.59626,0.55362,0.34022,1.50643,2.23899,2.34495,0.000451066,0.000451066,0.000451066
32,2293.16,1.63801,2.00649,2.23713,0.59033,0.62747,0.66228,0.40991,1.44871,1.91225,2.23534,0.000429068,0.000429068,0.000429068
33,2342.04,1.59269,1.97505,2.21593,0.75689,0.56556,0.70839,0.44128,1.41997,1.85578,2.19822,0.00040707,0.00040707,0.00040707
34,2396.41,1.61076,1.94747,2.21686,0.73589,0.66242,0.71374,0.44159,1.42064,1.82355,2.17599,0.000385073,0.000385073,0.000385073
35,2447.65,1.6159,1.92902,2.19496,0.73857,0.65984,0.71995,0.45563,1.42859,1.91913,2.19696,0.000363075,0.000363075,0.000363075
36,2497.49,1.57979,1.91786,2.17431,0.70647,0.59896,0.68976,0.42267,1.45607,1.92712,2.24304,0.000341077,0.000341077,0.000341077
37,2551.51,1.5637,1.89395,2.14853,0.73279,0.69235,0.72585,0.45572,1.45111,1.81632,2.17924,0.000319079,0.000319079,0.000319079
38,2610.11,1.56982,1.87078,2.15967,0.70933,0.68402,0.70423,0.44121,1.40199,1.83176,2.15695,0.000297081,0.000297081,0.000297081
